Contribution,Annotation 1,Annotation 2
We also show that the existing paths in the dataset are not ideal for evaluating instruction following because they are direct-to-goal shortest paths. We join existing short paths to form more challenging extended paths to create a new data set,Performance Evaluation,Performance Evaluation
We create a novel human language guided image editing dataset to boost the study in describing visual relationships,New Algorithm/ Method,New Algorithm/ Method
"We contribute a new dataset, named as VID-sentence, to serve as a benchmark for the novel WSSTG task",Dataset Creation,Dataset Creation
we propose a data-collection task formulated as a collaborative game prompting two online participants to refer to images utilising both their visual context as well as previously established referring expressions.,Dataset Creation,Dataset Creation
"we propose a new dataset with two new automatic metrics for this task, and experiments show that our method achieves stateof-the-art performance on both datasets.",Dataset Creation,Dataset Creation
"We propose a method to construct a pseudo parallel dataset for the surface realization model, without the need of labeled data.",New Algorithm/ Method,New Algorithm/ Method
"we create a new dataset, that contains 1716 summaries for papers from several computer science conferences, that can be used as training data",Dataset Creation,Dataset Creation
the new state-of-the-art performance on five real-world datasets in a setting where a model is able to determine the number of keyphrases to generate.,New Algorithm/ Method,New Algorithm/ Method
"we present a novel dataset, BIGPATENT, consisting of 1.3 million records of U.S. patent documents along with human written abstractive summaries.",Dataset Creation,Dataset Creation
a large-scale multi-sentence compression corpus is introduced along with a manually created test set for future research. We release source code and data here,Dataset Creation,Dataset Creation
"we introduce a cross-lingual OpenQA dataset called XQA. It consists of a training set in English, and development and test sets in English, French, German, Portuguese, Polish,Chinese, Russian, Ukrainian, and Tamil.",Dataset Creation,Dataset Creation
We create a new dataset for multi-modal Twitter sarcasm detection and release it,Dataset Creation,Dataset Creation
we explore the task of predicting human activities from user-generated content. We collect a dataset containing instances of social media users writing about a range of everyday activities.,Dataset Creation,Dataset Creation
"We propose a silver dataset containing user-generated reviews labelled with a approximation of the socio-economic status of their author, based on the price range of restaurants",Dataset Creation,Dataset Creation
"To address real-world, large-scale application scenarios and to facilitate the possibility of adopting modern ‘data-hungry’ language models in this domain, we collect a new largescale book review dataset from goodreads.com.",Dataset Creation,Dataset Creation
"we report on the construction of the first large-scale corpus of celebrity profiles, describing our acquisition approach based on a reliable matching of Twitter accounts to Wikidata items.",Theory Proposal,Theory Proposal
"We create a dataset for ranking constructive comments including 100K+ Japanese comments with constructiveness scores, in collaboration with Yahoo! News. Our dataset will be publicly available.",Dataset Creation,Dataset Creation
We propose the task of cross-modal automatic commenting (CMAC) and construct a large-scale dataset.,Dataset Creation,Dataset Creation
We introduce a novel data set of tweets posted by U.S. politicians who self-reported their tweets using a signature.,Dataset Creation,Dataset Creation
We use a back-translation procedure that generates pseudo source sentences paired with the true summaries to build a training corpus for the cross-lingual ASSUM.,New Algorithm/ Method,New Algorithm/ Method
A massive collection of parallel texts for over 300 diverse languages is our main contribution to facilitate multilingual NLP,Dataset Creation,Dataset Creation
We propose the creation of a dataset to learn the QAR strategy with weak supervision.,Dataset Creation,Dataset Creation
we build a corpus of New Zealand English tweets containing Maori loan- ¯ words,Theory Proposal,Theory Proposal
We present a Telugu-English code-mixed corpus with the corresponding named entity tags.,Theory Proposal,Theory Proposal
", we introduce the French
CASS dataset, composed of judgments from
the French Court of cassation and their corresponding summaries.",Dataset Creation,Dataset Creation
"we introduce manually verified corpus of compelling fake and questionable news articles on the USA politics, containing around 700 articles from Aug-Nov, 2016",Theory Proposal,Theory Proposal
we visualize probably the first job posting data set with labels from domain experts showing the intensity of PhD-level research skills,Dataset Creation,Dataset Creation
"we present a ranking-based model that has been successfully applied to predicting PhD skills intensity from job postings, with empirical performance evaluation.",Model Proposal,Model Proposal
we use a generic and simple frame-slots data-structure with pre-defined dialogue policies that allows for fast design and implementation at the price of some flexibility reduction.,New Algorithm/ Method,New Algorithm/ Method
"We benchmark OpenKiwi on two datasets from WMT 2018 (English-German SMT and NMT), yielding state-of-the-art performance on the word-level tasks and near state-of-the-art in the sentencelevel tasks",Performance Evaluation,Performance Evaluation
"we provide an annotated dataset of 5,727 partwhole relations , which contains 8 subtypes for the bootstrapping RE system",Dataset Creation,Dataset Creation
we study how to automatically extract such relationship through a sentence-level relation classifier and aggregating the scores of entity pairs from a large corpus,Theory Proposal,Theory Proposal
we propose a large structured dataset of automatically linguistically annotated software developer conversations for feature exploration,Dataset Creation,Dataset Creation
we propose a smaller manually-labeled subset of that dataset for hypothesis testing,Dataset Creation,Dataset Creation
We demonstrate the usefulness of this general-domain dataset by applying an existing visual-linguistic annotation framework that successfully annotates image regions by combining gaze and language data,Theory Proposal,Theory Proposal
"we study the performance of plagdet, the main measure for Plagiarism Detection Systems evaluation, on manually paraphrased plagiarism datasets (such as PAN Summary)",Performance Evaluation,Performance Evaluation
we design a large scale news dataset with 1.02 million sentence compression pairs are compiled for this task in addition to 200 manually created sentences.,Dataset Creation,Dataset Creation
"We annotate the first medical dataset for dialogue system that consists of two parts, one is self-reports from patients and the other is conversational data between patients and doctors",Dataset Creation,Dataset Creation
we incorporate knowledge of the lexico-syntactic fixedness of VNCs — automatically acquired from corpora using the method of Fazly et al. (2009) — into our various embedding-based approaches,Theory Proposal,Theory Proposal
we verified the effectiveness of the method on public data sets,Performance Evaluation,Performance Evaluation
"we construct the discourse dependency corpus SciDTB1 . based on scientific abstracts, with the reference to the discourse dependency representation in Li et al. (2014)",Dataset Creation,Dataset Creation
"we show that metadata is crucial for modeling voting outcomes in new contexts, as changes between sessions lead to changes in the underlying data generation process",Model Optimization,Model Optimization
"We introduce pivot translation into unsupervised NMT to improve the accuracy of distant
languages.",Model Optimization,Model Optimization
"We propose an n-gram based attention model
to effectively map the multi-word mentions of
entities and their relationships into uniquely
identified entities and predicates.",Model Proposal,Model Proposal
"we empirically show that multimodal learning with audio and text can indeed reduce prediction error, compared to previous work that relies
on text only.",Performance Evaluation,Performance Evaluation
"we try to model the multidimensional learning task as a multi-task learning
task through adversarial learning.",Model Proposal,Model Proposal
"We propose global fusion to obtain an overall view of multimodal embeddings via a specifically designed ABS-LSTM, in which we integrate two levels of attention mechanism: Regional Interdependence Attention and Global Interaction Attention.",New Algorithm/ Method,New Algorithm/ Method
"We propose the factored tensor network FTN
to model the complex semantic interactions,
and it has the advantage of significantly reducing the complexity of the original model",Model Optimization,Model Optimization
"This paper codifies model and task agnostic principles for
informative error analysis, and presents Errudite, an interactive tool for better supporting this process.",Model Proposal,Model Proposal
"we propose a new fully-trainable, language-independent mention detectors that outperform the Stanford CORE mention detector in a variety of genres.",Algorithm/Method Optimization,Algorithm/Method Optimization
introduce a constrained decoding approach for Seq2Seq models that leverages this representation to improve semantic correctness,New Algorithm/ Method,New Algorithm/ Method
"We show that the proposed approaches outperform baselines in both indomain and cross-domain evaluation, demonstrating that the model learns domain-agnostic walking
patterns that are generalizable for unseen domains.",Model Optimization,Model Optimization
we propose a graph-based evidence aggregating and reasoning (GEAR) framework which enables information to transfer on a fully-connected evidence graph and then utilizes different aggregators to collect multievidence information.,New Algorithm/ Method,New Algorithm/ Method
our goal is to induce semantic information from the proposed multimodal model into an acoustic model. We study a more challenging scenario where we establish that lexical information is available during,Model Proposal,Model Proposal
"We introduce a multi-task learning framework based on the neural network model, transformer",New Algorithm/ Method,New Algorithm/ Method
"we present a novel approach to CWI based on sequence modelling. Our system is capable of performing CWI in context, does not require extensive feature engineering and outperforms state-of-the-art systems on this task",New Algorithm/ Method,New Algorithm/ Method
we incorporate the global lattice structure into the model through reachability masks that mimic the pairwise conditioning structure of previous recurrent approaches.,Model Optimization,Model Optimization
"we introduce a model suitable for this scenario, and demonstrate that it is effective on our new benchmarks without sacrificing performance as measured with BLEU.",Model Proposal,Model Proposal
"We extend a novel graph neural network model with generated parameters, to enable relational message-passing with rich text information, which could be applied to process relational reasoning on unstructured inputs such as natural language.",Model Proposal,Model Proposal
"We incorporate the embeddings of characterwise/word-wise BIO tag from NER task to enrich the input representation, which proves to be very effective not only for our model but for other models as well.",Model Optimization,Model Optimization
"We propose a novel neural framework named MGNER for Multi-Grained Named Entity Recognition, aiming to detect both nested and non-overlapping named entities effectively in a single model",New Algorithm/ Method,New Algorithm/ Method
"MGNER is highly modularized. Each module
in MGNER can adopt a wide range of neural network designs. Moreover, MGNER can
be easily extended to many other related information extraction tasks.",Applications,Applications
we show experimental results show that our model significantly outperforms previous methods of using gazetteers and the state-of-the-art Chinese NER models,Model Optimization,Model Optimization
"we propose an alternative approach to address this limitation, and in particular, to train models by marginalizing over the set of segmentations",Model Optimization,Model Optimization
We propose a phrase prediction model that improves the performance of state-of-the-art word-level language models,Model Optimization,Model Optimization
We introduce an adaptive optimizer to selfadjust the number of iterations for each example in order to improve instance-level convergence and enhance the reliability of routing processes.,Algorithm/Method Optimization,Algorithm/Method Optimization
we propose a neural P2C conversion model augmented by an online updated vocabulary with a sampling mechanism to support open vocabulary learning during IME working.,Model Proposal,Model Proposal
we propose a method to simultaneously learn tokenization and text classification to address these problems. Our model incorporates a language model for unsupervised tokenization into a text classifier and then trains both models simultaneously,New Algorithm/ Method,New Algorithm/ Method
"we show that models trained on these corpora acquire and propagate these biases, such that AAE tweets and tweets by self-identified African Americans are up to two times more likely to be labelled as offensive compared to others.",Performance Evaluation,Performance Evaluation
"We introduce LSTMEmbed, an RNN model based on a bidirectional LSTM for learning word and sense embeddings in the same semantic space, which – in contrast to the most popular approaches to the task – takes word ordering into account.",Model Proposal,Model Proposal
The proposed translation models outperform the state-of-the-art NMT baselines systems with a similar number of parameters and achieve comparable results compared to NMT systems with much more parameters.,Applications,Applications
"we analyze the performance of different models on different types of constituents, and find that our model shows substantial improvement on noun phrases and prepositional phrases which are common in captions",Performance Evaluation,Performance Evaluation
"We design novel relationalspeaker models, including a dynamic relational
attention module, to handle the problem of twoimage captioning by focusing on all their visual
relationships",Model Proposal,Model Proposal
We conduct extensive experiments showing that our model outperforms the state-of-theart both in automated and human evaluations.,Performance Evaluation,Performance Evaluation
"We propose a sentiment intensity controlled generative model Seq2SentiSeq, in which a sentiment intensity value is introduced via a Gaussian kernel layer to achieve fine-grained sentiment control of the generated sentence.",Model Proposal,Model Proposal
"We propose to break up the table-to-text generation into two stages with two separate models, so that the model can be trained with fewer annotated data.",Model Proposal,Model Proposal
"We redesign the ELBO of the joint log likelihood, to accommodate two separate latent spaces in one VAE framework, for two SIVAE model variants based on different intuitions, which can be further used for other applications.",Algorithm/Method Optimization,Algorithm/Method Optimization
"we utilize a multi-level decoder structure to capture the coherent long-term structure inherent in long-form texts, by generating intermediate sentence representations as highlevel plan vectors.",New Algorithm/ Method,New Algorithm/ Method
"we extend supervised DIM to semi-supervision setup (SEMIDIM), where unsupervised learning objectives based on unlabeled data are also optimized",Algorithm/Method Optimization,Algorithm/Method Optimization
"we propose that the rich multi-modal data from recording the meeting environment, especially cameras facing each participant, can provide speaker interaction and participant feedback to discover salient utterances.",Theory Proposal,Theory Proposal
We introduce multi-style learning that enables our model to control answer styles and improves RC for all styles involved.,New Algorithm/ Method,New Algorithm/ Method
We use a co-attention mechanism to model sentence coherence and integrate the coherenceand entailment-based attentions into our proposed hierarchical attention framework for better evidence embedding,New Algorithm/ Method,New Algorithm/ Method
we analyze the usefulness of a user’s network information over the user’s tweets for predicting its occupational group. We extend the existing dataset for occupation classification by introducing the network information about a user,Theory Proposal,Theory Proposal
we propose the WMM2Seq for dialog generation which separates the storage of dialog history and KB information by using the episodic and semantic memories and then leverages the working memory to interact with them,Theory Proposal,Theory Proposal
"we consider an extension to the FC scenario, where a practitioner has the computational capacity to fit multiple models in parallel.",New Algorithm/ Method,New Algorithm/ Method
It seamlessly integrates implicit anticipation and translation in a single model that directly predicts target words without explictly hallucinating source ones.,Model Proposal,Model Proposal
Our prefix-to-prefix framework is tailored to simultaneous translation and trained from scratch without using full-sentence models.,New Algorithm/ Method,New Algorithm/ Method
"We combine the ability of BERT to handle sentence pair inputs together with its pre-trained multilingual model, to use both the src and mt in a cross-lingual encoder, that takes a multilingual sentence pair as input",New Algorithm/ Method,New Algorithm/ Method
"we propose a framework, which
we call LANGRANK, to empirically answer the
question posed above: given a particular task lowresource language and NLP task, how can we determine which languages we should be performing
transfer",New Algorithm/ Method,New Algorithm/ Method
"We propose a morphology-aware alignment model for unsupervised bilingual lexicon induction, which aims to alleviate the adverse effect of morphological variation by introducing grammatical information learned from pre-trained language model.",Model Proposal,Model Proposal
"We demonstrate a speed-up of several orders of magnitude when predicting word similarity by vector operations on our embeddings as opposed to directly computing the respective path-based measures, while outperforming various other graph embeddings",New Algorithm/ Method,New Algorithm/ Method
"we design an NPI-based model that simulates the editing process by a programmer and an interpreter, which outperforms the state-of-the-art neural MT-based TS models by large margins in terms of SARI and is judged by humans as simpler and overall better",Model Proposal,Model Proposal
"It proposes the use of a unique combination of lexical, sentiment, durational and further derivative features of adjacency pairs to train traditional classification models",Dataset Creation,Dataset Creation
"r aims to improve existing document
embedding models (Le and Mikolov, 2014; Li
et al., 2016a) by training document embeddings
using cosine similarity instead of dot product",Model Optimization,Model Optimization
r presents an alternative to the current morpheme-based scheme for Japanese word segmentation,Theory Proposal,Theory Proposal
"we propose a joint neural model to simultaneously extract names and kinships from obituaries, which combines a two-layer bidirectional Long Short-Term Memory (bi-LSTM) (Hochreiter and Schmidhuber, 1997) and a unique tagging scheme",Model Proposal,Model Proposal
"we exploited ensembles based on a pretrained language representation with a neural transformer architecture (BERT) (Tasks 1
and 4) and a CNN-BiLSTM(-CRF) network
within a multi-task learning scenario",New Algorithm/ Method,New Algorithm/ Method
"We propose a novel architecture that encodes
locally stored domain information into sentence representation.",New Algorithm/ Method,New Algorithm/ Method
"we propose a new approach for learning thematic relatedness between sentences, formulating the related TDC task and creating a thematic clustering benchmark",New Algorithm/ Method,New Algorithm/ Method
"we propose a new approach to triclustering, achieving state-of-the-art performance on the frame induction task",Algorithm/Method Optimization,Algorithm/Method Optimization
"we propose an approach based on linguistic knowledge for identification of aliases mentioned using proper nouns, pronouns or noun phrases with common noun headword",New Algorithm/ Method,New Algorithm/ Method
we propose a new parallel recurrent neural network model for entity recognition,Model Proposal,Model Proposal
we use named entities as domain-specific terms for newscentric content and present a new weighting model for Latent Dirichlet Allocation,Model Proposal,Model Proposal
we study the problem of word ambiguities in definition modeling and propose a possible solution by employing latent variable modeling and soft attention mechanisms,Theory Proposal,Theory Proposal
The proposed CNN model performs comparatively or better than LSTM-based baselines on two different datasets,Model Proposal,Model Proposal
we extend the beam search to introduce more flexibility,Algorithm/Method Optimization,Algorithm/Method Optimization
"we analized the the encoder-decoder framework learns the sequence-to-sequence task directly, bypassing other hand-crafted patterns and alleviating error propagation",Performance Evaluation,Performance Evaluation
"we model the response
selection problem as a multi-class classification
problem with sequences as input, where the label of the true response is set to one and the
other candidates are set to zero.",Model Proposal,Model Proposal
"we introduce a different way to
handle reentrancy, and propose an attention-based model that treats AMR parsing as sequence-tograph transduction.",Model Proposal,Model Proposal
"we propose a novel
reliability-aware name tagging model to tackle
this issue. We design a set of word frequencybased reliability signals to indicate the quality
of each word embedding.",Model Proposal,Model Proposal
"We propose an end-to-end model for extract-
ing and canonicalizing triples to enrich a KB.
The model reduces error propagation between
relation extraction and NED, which existing
approaches are prone to.",Model Proposal,Model Proposal
"We propose the novel AGGCNs that learn a
“soft pruning” strategy in an end-to-end fashion, which learns how to select and discard
information. Combining with dense connections, our AGGCN model is able to learn a
better graph representation",Model Proposal,Model Proposal
"we proposed DihEdral to model
the relation in KG with the representation of dihedral group. The elements in a dihedral group are
constructed by rotation and reflection operations
over a 2D symmetric polygon.",Model Proposal,Model Proposal
we propose a novel recursive neural network architecture consisting of a decomposable attention framework in every branch,New Algorithm/ Method,New Algorithm/ Method
"It proposes a probabilistic model,
JELTA, which jointly estimates the credibility of
claims and the trustworthiness of sources, when
claims are made by sources directly, indirectly, or
both",Model Proposal,Model Proposal
"Our framework incorporates a TE model
as part of the global inference framework as a way
to link evidence (and thus, sources) to claims.",Model Proposal,Model Proposal
"We propose
a novel model to generate email subjects. Our automatic and human evaluations demonstrate that
our model outperforms competitive baselines and
approaches human-level quality.",Model Proposal,Model Proposal
"We propose a generic hierarchical fusion strategy, termed ‘divide, conquer and combine’, to explore both local and global interactions in multiple stages each focusing on
different dynamics.",New Algorithm/ Method,New Algorithm/ Method
"we propose an interactive multitask learning network (IMN), which solves both
tasks simultaneously, enabling the interactions between both tasks to be better exploited.",Model Proposal,Model Proposal
"we propose a novel Transfer
Capsule Network (TransCap) model to transfer
sentence-level semantic knowledge from DSC to
ASC.",Model Proposal,Model Proposal
"we
propose a progressive self-supervised attention learning approach for neural ASC models, which automatically mines useful attention supervision information from a training
corpus to refine attention mechanisms.",Model Optimization,Model Optimization
"A novel framework DOER is proposed to address the aspect term-polarity co-extraction
problem in an end-to-end fashion. A crossshared unit (CSU) is designed to leverage the
interaction of the two tasks",Model Proposal,Model Proposal
"We propose a MTL approach to coherence assessment
and compare it against a number of baselines",New Algorithm/ Method,New Algorithm/ Method
"we
designed a novel discourse relation identification pipeline specifically tuned for opendomain dialogue systems.",New Algorithm/ Method,New Algorithm/ Method
"we introduce Word Injection to LSC, a modeling idea drawn from term extraction, that overcomes the problem of vector space alignment.",Model Proposal,Model Proposal
"We introduce unified models for multi-task learning that learn three sets of features: task, task group, and task universe features;",Model Proposal,Model Proposal
"We propose a knowledge attention module,
which helps to select the most related and helpful knowledge from different KGs",Theory Proposal,Theory Proposal
we propose An end-to-end hierarchical neural model consisting of a shared encoder and different decoding schemes to jointly extract entities and negations.,Model Proposal,Model Proposal
"we present a novel method inspired by the determinantal point process for multi-document summarization. The method includes a diversity measure assessing the redundancy between sentences, and a quality measure that indicates the importance of sentences",New Algorithm/ Method,New Algorithm/ Method
we propose to learn topic-aware news representations by jointly training the news encoder with an auxiliary topic classification task,New Algorithm/ Method,New Algorithm/ Method
Proposing a novel end-toend sequence labeling architecture utilizing LDL to model the emphasis words in a given text.,New Algorithm/ Method,New Algorithm/ Method
"We propose a classifier by integrating multiple text feature sets, including the publicly available pre-trained textual language model Bi-directional Encoder Representation from transformers (BERT)",New Algorithm/ Method,New Algorithm/ Method
we propose the use of lattice positional embeddings to model positioning and ordering of lattice nodes.,Model Proposal,Model Proposal
"We propose the novel task of learning general-purpose embedding of textual relations, which has the potential to facilitate a wide range of relational understanding tasks",New Algorithm/ Method,New Algorithm/ Method
We present a novel and concise joint model to handle the joint type inference problem based on graph convolutional network,Model Proposal,Model Proposal
"We introduce a binary relation classification
task to explore the structure of entity-relation bipartite graph in a more efficient and interpretable way",New Algorithm/ Method,New Algorithm/ Method
"we propose GraphRel, a neural end-to-end joint model for entity recognition and relation extraction that is the first to handle all three key aspects in relation extraction",Model Proposal,Model Proposal
"we propose a neural pattern diagnosis framework, DIAG-NRE, that can automatically summarize and refine highquality relational patterns from noise data with human experts in the loop.",New Algorithm/ Method,New Algorithm/ Method
"We propose a novel Multi-channel GNN model MuGNN that learns alignmentoriented embeddings by encoding graphs from different perspectives: completion and pruning, so as to be robust to structural differences.",Model Proposal,Model Proposal
"we propose a lightweight recurrent network (LRN), which combines the strengths of ATR and SRU. The structure of LRN is simple: an input gate and a forget gate are applied to weight the current input and previous hidden state, respectively",Model Proposal,Model Proposal
we focus on perfectly decodable encoding of sentences which will be very useful in designing good generative models that can generate longer sentences.,Theory Proposal,Theory Proposal
"we present a new approach to counterfactual data augmentation 
for mitigating gender stereotypes associated with
animate nouns for morphologically rich languages.",New Algorithm/ Method,New Algorithm/ Method
"we introduce a generative latent-variable model that jointly represents adjective choice, with its sentiment, given the natural gender of a head noun.",Model Proposal,Model Proposal
we first propose a relation-aware semantic projection model to estimate probabilistic distributions of lexical relations over unlabeled data.,Model Proposal,Model Proposal
"we introduce a novel ‘continual architecture search’ (CAS) approach, where the model parameters evolves and adapts when trained sequentially on a new task while maintaining the performance on the previously learned tasks.",New Algorithm/ Method,New Algorithm/ Method
we propose a novel aspect-aware coarse-tofine decoder for generating product reviews. We first utilize unsupervised topic models to extract aspects and tag review sentences with aspect labels.,New Algorithm/ Method,New Algorithm/ Method
We propose a novel metaphor and personification generation model with a rhetorically controlled encoder-decoder.,New Algorithm/ Method,New Algorithm/ Method
We propose a memory-augmented neural model with adversarial training to integrate external commonsense knowledge into topicto-essay generation.,Model Proposal,Model Proposal
"we propose various multi-level network structures for the VAE model (ml-VAE), to address coherency and repetitiveness challenges associated with long-form text generation.",Theory Proposal,Theory Proposal
"we propose a novel data-totext generation model with two modules, one for saliency tracking and another for text generation.",Model Proposal,Model Proposal
"we propose the Extended Transformer model for Abstractive Document Summarization (ETADS) to tackle the above issues. Specifically, we design a novel focusattention mechanism and saliency-selection network equipped in the encoder and decoder",Model Proposal,Model Proposal
We propose a novel unsupervised end-to-end model to generate an abstractive summary of a single product review while inducing a latent discourse tree,Model Proposal,Model Proposal
We propose an RL approach with a novel adaptive reward function that explicitly encourages the model to generate both sufficient and accurate keyphrases,New Algorithm/ Method,New Algorithm/ Method
a new evaluation method that considers name variations of the keyphrase labels,Performance Evaluation,Performance Evaluation
"we propose a multi-modal hierarchical attention mechanism across topic segments, utterances, and words. We learn topic segmentation as an auxiliary task and limit the attention within each segment.",New Algorithm/ Method,New Algorithm/ Method
"we propose an end-to-end MRC model named as Knowledge Aided Reader (KAR), which explicitly uses the above extracted general knowledge to assist its attention mechanisms.",Model Proposal,Model Proposal
"we propose RE3QA, a neural question answering model that conducts the full retrieve-read-rerank process for multi-document RC tasks.",Model Proposal,Model Proposal
We propose QFE for explainable multi-hop QA. We use the multi-task learning of the QA model for answer selection and QFE for evidence extraction.,New Algorithm/ Method,New Algorithm/ Method
"We devise a new approach KTNET to MRC. It outperforms competitive baselines, ranks the 1st place on the ReCoRD leaderboard, and is also the best single model on the SQuAD",Model Optimization,Model Optimization
We propose two novel methods to handle the simplified HPSG parsing.,New Algorithm/ Method,New Algorithm/ Method
"We are the first to introduce the deep transition architecture for sequence labeling, and further enhance it with the global contextual representation at the sentence level, named GCDT",Theory Proposal,Theory Proposal
"We conduct elaborate investigations of global contextual representation, model complexity and effects of various components in GCDT.",Performance Evaluation,Performance Evaluation
We propose a novel claim verification framework based on hierarchical attention neural networks to learn sentence-level evidence embeddings to obtain claim-specific representation,New Algorithm/ Method,New Algorithm/ Method
"we propose a simple, automatic recipe towards reducing hallucination for neural surface realisers by enhancing the semantic equivalence between pairs of MRs and utterances.",Theory Proposal,Theory Proposal
"We present a novel co-attention model, which aims at capturing intrinsic interactions between multiple modal contents.",Model Proposal,Model Proposal
We Propose a novel path-based reasoning approach for multi-hop QA over text that produces explanations in the form of explicit paths,New Algorithm/ Method,New Algorithm/ Method
"We design A model, PathNet, which aims to extract implicit relations from text and compose them",Model Proposal,Model Proposal
We define author context as the embedded representation of their historical posts on Twitter and suggest neural models that extract these representations.,Theory Proposal,Theory Proposal
we develop a novel framework for temporal relation representation that puts event duration front and center.,New Algorithm/ Method,New Algorithm/ Method
We propose a novel neural architecture Transformer-XL that enables learning dependency beyond a fixed length without disrupting temporal coherence.,New Algorithm/ Method,New Algorithm/ Method
we propose a novel model namely Reference Network that incorporates the referring process into translation decoding of NMT.,Model Proposal,Model Proposal
we propose a hard-attention based NMT model which selects a subset of source tokens for each target token to effectively handle long sequence translation.,Model Proposal,Model Proposal
we propose a sentencelevel agreement module to directly minimize the difference between the representation of source and target sentence.,New Algorithm/ Method,New Algorithm/ Method
"we introduce the topic entity graph, a local sub-graph of an entity, to represent entities with their contextual information in KG.",Theory Proposal,Theory Proposal
we focus on methods for cross-lingual transfer to distant languages and propose to learn a generative model with a structured prior that utilizes labeled source data and unlabeled target data jointly,Theory Proposal,Theory Proposal
"we propose to encode relational knowledge in a separate word embedding, which is aimed to be complementary to a given standard word embedding.",New Algorithm/ Method,New Algorithm/ Method
we propose a word embedding model which explicitly aims to learn context vectors that are organised in clusters.,Model Proposal,Model Proposal
"We propose a BERT-based end-to-end lexical substitution approach without relying on
any annotated data and external linguistic resources.",New Algorithm/ Method,New Algorithm/ Method
We propose a novel Seq2Seq model that decomposes the paraphrase generation into learning paraphrase patterns at different granularity levels separately,Model Proposal,Model Proposal
a methodology for testing existing models and proposed extensions.,New Algorithm/ Method,New Algorithm/ Method
proposing the use of Inverted Softmax and Cross-modal Local Scaling to replace naive nearest neighbor search (for inference).,Theory Proposal,Theory Proposal
"we present a recurrent neural model to detect ad hominem attack in a paragraph, and we experiment with various other models to compare them",Model Proposal,Model Proposal
We put forward a shared Bi-LSTM-CRF model for efficiently integrating multiple embeddings and sharing useful linguistic features;,Model Proposal,Model Proposal
"we propose a
new training schedule that allows the system
to scale to more languages without modification of the previous components based on
joint training and language-independent encoder/decoder modules allowing for zero-shot
translation.",New Algorithm/ Method,New Algorithm/ Method
we develop a neural model based on a CNN-LSTM architecture that learns to detect AD and related dementias using targeted and implicitly-learned features from conversational transcripts,Model Proposal,Model Proposal
we build the NMT systems for both EN-ID and ID-EN directions using the Transformer model,New Algorithm/ Method,New Algorithm/ Method
"We propose a new strategy for using scheduled sampling in Transformer models by
making two passes through the decoder in
training time.",New Algorithm/ Method,New Algorithm/ Method
"we propose an approach
of using semantic similarity between the output
sequence and the ground-truth sequence to train
the generation model.",Theory Proposal,Theory Proposal
"We present a modular framework for the rapidprototyping of linguistic, web-based, visual
analytics applications.",New Algorithm/ Method,New Algorithm/ Method
We present a demonstration of a neural interactive-predictive system for tackling multimodal sequence to sequence tasks,Theory Proposal,Theory Proposal
provides pretrained conversational models that can be either used directly or loaded for fine-tuning or bootstrapping other models; these models power an online demo of our framework.,Model Proposal,Model Proposal
"we present PERSPECTROSCOPE, a web-based system which lets users query a discussion-worthy natural language claim, and extract and visualize various perspectives in support or against the claim, along with evidence supporting each perspective",New Algorithm/ Method,New Algorithm/ Method
"We demonstrate HEIDL, a prototype HITLML system that exposes the machine-learned model through high-level, explainable linguistic expressions formed of predicates representing semantic structure of text",New Algorithm/ Method,New Algorithm/ Method
"We describe My Turn
To Read, an app that uses interleaved reading
to help developing and struggling readers improve reading skills while reading for meaning
and pleasure.",New Algorithm/ Method,New Algorithm/ Method
"we present ClaimPortal, a webbased platform for monitoring, searching, checking, and analytics of factual claims on Twitter. ClaimPortal is available at https://idir.
uta.edu/claimportal",New Algorithm/ Method,New Algorithm/ Method
We propose a graph walk based neural model that considers multiple entity pairs in relation extraction from a sentence,Model Proposal,Model Proposal
we develop a linguistically-infused neural network model to classify reactions in social media posts,Model Proposal,Model Proposal
we model this task using CNN regression with an auxiliary ordinal regression objective,Model Proposal,Model Proposal
we propose an unified approach to filter noisy bitexts and to mine bitexts in huge monolingual texts,New Algorithm/ Method,New Algorithm/ Method
Our model takes question-option tuple to generate a score for the concerned option,Model Proposal,Model Proposal
"we gauge human ability to perform cross-lingual gender detection, an angle of analysis which has not been studied thus far",Theory Proposal,Theory Proposal
we propose an entity-centric neural crosslingual coreference model,Model Proposal,Model Proposal
"we propose a novel Document Embedding Enhanced Bi-RNN model, called DEEB-RNN, for ED at sentence level",Model Proposal,Model Proposal
we propose a model that jointly identifies the domain and tracks the belief states corresponding to that domain,Model Proposal,Model Proposal
We propose the task of automatically rating academic papers and build a new dataset for this task,New Algorithm/ Method,New Algorithm/ Method
"proposal of a novel interaction-over-interaction
network which enables deep-level matching with
carefully designed interaction block chains",New Algorithm/ Method,New Algorithm/ Method
"we propose a novel method for
zero-shot multilingual transfer, inspired by research in truth inference in crowd-sourcing, a related problem, in which the ‘ground truth’ must be
inferred from the outputs of several unreliable annotators",New Algorithm/ Method,New Algorithm/ Method
"We propose the learning to route
(LTR) method to automatically select the good
translation path",New Algorithm/ Method,New Algorithm/ Method
"We propose a machine learning algorithm that
uses self-regulation in order to balance the cost
and effect of learning from different types of feedback.",New Algorithm/ Method,New Algorithm/ Method
"We propose a systematic
and principled method of injecting semantic
change in a controlled fashion.",New Algorithm/ Method,New Algorithm/ Method
